Title,categoria,nivel,es_restaurante,Content,logo,sitio_web,estado
Kurai,Gastronomía,Terraza,true,"Restaurante japonés que mezcla lo mejor de la tradición con un toque moderno. Disfruta de platillos como sushi, ramen y más, en un ambiente único. Ideal para los amantes de la auténtica cocina japonesa.",https://raw.githubusercontent.com/pradofox/fd-logos/main/kurai.webp?v=3,www.kuraisushi.com,
La Corriente,Gastronomía,Terraza,true,"En La Corriente nos especializamos en mariscos frescos, preparados con el mejor toque casero. Desde ceviches refrescantes hasta platos de mariscos sazonados con auténticos sabores.",https://raw.githubusercontent.com/pradofox/fd-logos/main/la-corriente.webp?v=3,grupopacifica.com,
La Crêpe Parisienne,Gastronomía,Lobby,false,"La Crêpe Parisienne especializada en deliciosas crepas dulces y saladas, preparadas al momento con un auténtico toque francés. En este acogedor lugar, podrás disfrutar de crepas recién hechas con los mejores ingredientes. Además, puedes acompañar tu crepa con bebidas refrescantes o un delicioso café, creando una experiencia gastronómica única.",https://raw.githubusercontent.com/pradofox/fd-logos/main/la-crepe-parisienne.webp?v=3,www.lacrepeparisienne.com,
La Reynita,Gastronomía,Terraza,true,Cocina mexicana contemporánea en la terraza con vista abierta.,https://raw.githubusercontent.com/pradofox/fd-logos/main/la-reynita.webp?v=3,www.lareynita.mx,
Lacoste,Moda,Nivel 1,false,"Marca que ofrece un estilo icónico y sofisticado, perfecto para jóvenes y adultos. Su colección de ropa, calzado y accesorios combina elegancia y un toque deportivo. Una marca que define la moda casual de lujo.",https://raw.githubusercontent.com/pradofox/fd-logos/main/lacoste.webp?v=3,www.lacoste.com,
LEGO,Entretenimiento,Lobby,false,"La tienda LEGO®️ más grande de México la encuentras en Fashion Drive. Consigue artículos coleccionables, ediciones limitadas y promociones exclusivas en esta sucursal.",https://raw.githubusercontent.com/pradofox/fd-logos/main/lego.webp?v=3,www.lego.com/es-mx,
Lefties,Moda,Nivel 1,false,"Moda accesible para todos los gustos y edades. Lefties ofrece colecciones actualizadas de ropa, calzado y accesorios que combinan tendencias globales con precios competitivos, haciendo que el estilo esté al alcance de todos.",https://raw.githubusercontent.com/pradofox/fd-logos/main/lefties.webp?v=3,www.lefties.com,
Lululemon,Moda,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/lululemon.webp?v=3,shop.lululemon.com,
Mario Ramos,Moda,Nivel 1,false,"Tienda especializada en moda masculina que ofrece diseños elegantes y contemporáneos. Mario Ramos combina calidad y estilo para brindar soluciones de vestimenta ideales para el hombre moderno, desde trajes formales hasta opciones más casuales.",https://raw.githubusercontent.com/pradofox/fd-logos/main/mario-ramos.webp?v=3,www.marioramos.com.mx,
Match Case,Tecnología,Lobby,false,"Especializada en fundas, accesorios y personalización para dispositivos móviles, ofreciendo productos que combinan protección, estilo y funcionalidad. Encontrarás una amplia variedad de fundas para celulares de diferentes materiales diseñadas para proporcionar la máxima protección contra caídas y golpes.",https://raw.githubusercontent.com/pradofox/fd-logos/main/match-case.webp?v=3,www.instagram.com/_matchcase,
Miniso,Hogar,Nivel 2,false,"Encuentra lo mejor en gadgets, productos de belleza, artículos para el hogar y mucho más. Miniso ofrece calidad a precios accesibles para todos.",https://raw.githubusercontent.com/pradofox/fd-logos/main/miniso.webp?v=3,www.miniso.com,
Mobo Shop,Tecnología,Nivel 2,false,"La tienda ideal para los amantes de la tecnología y gadgets. Mobo Shop ofrece lo último en dispositivos electrónicos, accesorios y más.",https://raw.githubusercontent.com/pradofox/fd-logos/main/mobo-shop.webp?v=3,www.mobo.com,
Montblanc,Joyería,Lobby,false,"Joyería de lujo que ofrece diseños exclusivos de alta calidad para toda ocasión. Con una tradición que combina artesanía meticulosa y materiales de la más alta gama, Montblanc se destaca por sus colecciones de joyas, relojes y accesorios sofisticados.",https://raw.githubusercontent.com/pradofox/fd-logos/main/montblanc.webp?v=3,www.montblanc.com,
Mr. Lock,Servicios,Nivel 3,false,"Vive la emoción de los escape rooms en MR. LOCK, el lugar donde la lógica, la estrategia y el trabajo en equipo son clave. Enfrenta desafíos, resuelve acertijos y descubre los secretos ocultos en cada sala antes de que el tiempo se agote. Sumérgete en experiencias únicas llenas de misterio y adrenalina.",https://raw.githubusercontent.com/pradofox/fd-logos/main/mr-lock.webp?v=3,mrlockgames.com,
Muy Mucho,Hogar,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/muy-mucho.webp?v=3,www.muymucho.mx,
Nikkori,Gastronomía,Food Court,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/nikkori.webp?v=3,www.nikkori.mx,
Pandora,Joyería,Nivel 1,false,"Joyería con un estilo único y personalizable que celebra tus momentos más importantes. Desde sus icónicas pulseras con charms hasta anillos y collares, Pandora es el lugar perfecto para expresar tu historia con piezas exclusivas y significativa.",https://raw.githubusercontent.com/pradofox/fd-logos/main/pandora.webp?v=3,www.pandoraoficial.com.mx,
Popeyes,Gastronomía,Food Court,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/popeyes.webp?v=3,popeyes.com.mx,
Prada,Moda,Nivel 1,false,"Marca conocida por su elegancia, sofisticación y lujo. Sus colecciones de ropa, calzado y accesorios son el reflejo de la alta costura italiana, ideales para quienes buscan exclusividad.",https://raw.githubusercontent.com/pradofox/fd-logos/main/prada.webp?v=3,www.prada.mx,
Robert's,Moda,Nivel 1,false,"Reconocida por su excelencia en moda masculina, Roberts ofrece prendas cuidadosamente confeccionadas para el hombre elegante. Desde trajes a la medida hasta accesorios exclusivos, esta tienda es perfecta para quienes buscan destacar con un estilo y único.",https://raw.githubusercontent.com/pradofox/fd-logos/main/robert-s.webp?v=3,www.roberts.com.mx,
Sally Beauty,Belleza,Lobby,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/sally-beauty.webp?v=3,www.sallybeauty.com,
Samsonite,Moda,Lobby,false,"Una marca confiable y reconocida mundialmente por su innovación en equipaje y accesorios de viaje. Samsonite combina funcionalidad, durabilidad y diseño, ofreciendo soluciones prácticas para cualquier tipo de viaje, ya sea de negocios o de placer.",https://raw.githubusercontent.com/pradofox/fd-logos/main/samsonite.webp?v=3,www.samsonite.com,
Samsung,Tecnología,Lobby,false,Tienda oficial de tecnología que ofrece lo último en smartphones y una amplia variedad de productos electrónicos de alta calidad.,https://raw.githubusercontent.com/pradofox/fd-logos/main/samsung.webp?v=3,www.samsung.com.mx,
Sanborns,Servicios,Lobby,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/sanborns.webp?v=3,www.sanborns.com.mx,
Santa Clara,Gastronomía,Nivel 2,false,"En Santa Clara, disfruta de deliciosas opciones de repostería, chocolate y otros productos que te enamorarán.",https://raw.githubusercontent.com/pradofox/fd-logos/main/santa-clara.webp?v=3,www.coca-colaentuhogar.com,
Santander Work Café,Servicios,Lobby,false,"Santander Work Café es un espacio moderno que combina servicios bancarios con un ambiente de coworking y cafetería, ideal para quienes buscan productividad y comodidad en un solo lugar.",https://raw.githubusercontent.com/pradofox/fd-logos/main/santander-work-cafe.webp?v=3,www.santander.com.mx,
Sephora,Belleza,Nivel 1,false,"Marca que ofrece una selección inigualable de maquillaje exclusivo, cuidado de la piel y fragancias, junto con la experiencia de consultores expertos que te ayudarán a encontrar los productos ideales para ti.",https://raw.githubusercontent.com/pradofox/fd-logos/main/sephora.webp?v=3,www.sephora.com.mx,
Sfera,Moda,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/sfera.webp?v=3,www.sfera.com,
Skechers,Moda,Nivel 2,false,"Conocida por su comodidad y estilo, Skechers ofrece calzado innovador tanto para el deporte como para el día a día. ¡Pisa con estilo y confort!",https://raw.githubusercontent.com/pradofox/fd-logos/main/skechers.webp?v=3,www.skechers.com.mx,
Smart Bamboo,Hogar,Nivel 2,false,"Marca que ofrece productos de alta calidad para tu habitación y hacer tu espacio más acogedor, puedes encontrar bases, colchones, almohadas, sabanas etc.",https://raw.githubusercontent.com/pradofox/fd-logos/main/smart-bamboo.webp?v=3,www.smartbamboo.mx,
Smart Fit,Servicios,Nivel 3,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/smart-fit.webp?v=3,www.smartfit.com.mx,
Starbucks,Gastronomía,Lobby,false,"Descubre una amplia variedad de bebidas, desde clásicos como el latte hasta creaciones exclusivas de temporada. Acompaña tu Starbucks con deliciosos postres, snacks o sándwiches en un ambiente acogedor. ¡Tu espacio ideal para relajarte, trabajar o compartir con amigos!",https://raw.githubusercontent.com/pradofox/fd-logos/main/starbucks.webp?v=3,www.starbucks.com.mx,
Steve Madden,Moda,Nivel 1,false,"Sinónimo de estilo audaz y vanguardista en calzado y accesorios. Con diseños innovadores y contemporáneos, su colección está pensada para quienes buscan destacar y seguir las últimas tendencias de moda.",https://raw.githubusercontent.com/pradofox/fd-logos/main/steve-madden.webp?v=3,www.stevemadden.com,
Sunglass Hut,Moda,Nivel 2,false,Dale un toque de estilo a tu look con las mejores marcas de gafas de sol en Sunglasshot. Encuentra el par perfecto para proteger tus ojos y lucir increíble.,https://raw.githubusercontent.com/pradofox/fd-logos/main/sunglass-hut.webp?v=3,www.sunglasshut.com,
TAF,Moda,Nivel 2,false,"La mejor selección de ropa deportiva y casual, con marcas de calidad y estilo para todos los gustos. ¡Visítanos y encuentra tu look perfecto para cualquier ocasión!",https://raw.githubusercontent.com/pradofox/fd-logos/main/taf.webp?v=3,www.taf.com.mx,
Telcel,Tecnología,Nivel 2,false,"La tienda líder en telecomunicaciones, donde encontrarás los últimos dispositivos móviles, planes y accesorios para mantenerte siempre conectado. ¡Todo lo que necesitas en un solo lugar!",https://raw.githubusercontent.com/pradofox/fd-logos/main/telcel.webp?v=3,www.telcel.com,
The Body Room,Belleza,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/the-body-room.webp?v=3,thebodyroom.mx,
Theurel & Thomas,Gastronomía,Nivel 1,false,Theurel & Thomas es una pastelería de lujo que ofrece una experiencia sensorial única con sus macarons y postres artesanales. Disfruta de la excelencia de la repostería francesa en cada bocado.,https://raw.githubusercontent.com/pradofox/fd-logos/main/theurel-and-thomas.webp?v=3,www.theurelthomas.com,
Tiki Ming,Gastronomía,Food Court,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/tiki-ming.webp?v=3,www.facebook.com/p/Tiki-Ming-Comida-China-100063737911592,
Tim Hortons,Gastronomía,Nivel 1,false,"Más que una cafetería, es un lugar donde disfrutar de café premium, deliciosas donas y una variedad de snacks. Con un ambiente acogedor, Tim Hortons es perfecto para compartir momentos especiales o para una pausa rápida durante el día.",https://raw.githubusercontent.com/pradofox/fd-logos/main/tim-hortons.webp?v=3,timhortonsmx.com/es/index.html,
Tous,Joyería,Nivel 1,false,"Joyería y accesorios que se distingue por sus diseños únicos, que fusionan la sofisticación con un toque de ternura. Encuentra piezas exclusivas que reflejan tu estilo y personalidad.",https://raw.githubusercontent.com/pradofox/fd-logos/main/tous.webp?v=3,www.tous.com,
Tumi,Moda,Nivel 1,false,"Sinónimo de calidad y funcionalidad en maletas y accesorios de viaje. Sus productos están diseñados para ofrecerte la máxima durabilidad y elegancia, acompañándote en cada aventura con estilo.",https://raw.githubusercontent.com/pradofox/fd-logos/main/tumi.webp?v=3,www.tumi.com.mx,
Verysa,Moda,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/verysa.webp?v=3,,
Yogufrut,Gastronomía,Nivel 1,false,"Disfruta de un momento dulce y refrescante en YF Yogufrut. Deléitate con helado de yogurt suave y cremoso, acompañado de una amplia variedad de toppings y crepas recién hechas. Ideal para compartir con amigos o consentirte después de un día de compras.",https://raw.githubusercontent.com/pradofox/fd-logos/main/yogufrut.webp?v=3,yfyogufrut.com,
Zingara,Moda,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/zingara.webp?v=3,,
Shicken,Gastronomía,Terraza,true,Pollo frito estilo coreano con un toque crujiente único.,,,
